"k","Score","Time (seconds)","Best Cluster (k)","run","var"
2,0.0552328650280142,36.4379999999946," ",1,0.8
3,0.185073485190439,36.4339999999793," ",1,0.8
4,0.0216295979329354,35.0229999999865,"BEST",1,0.8
5,0.1183969727776,31.6579999999958," ",1,0.8
2,0.0540855270282836,36.5869999999995," ",2,0.8
3,0.183997943865653,36.1499999999942," ",2,0.8
4,0.0232592923346736,33.5070000000123,"BEST",2,0.8
5,0.119267538625382,31.5020000000077," ",2,0.8
2,0.0539266740439311,36.0299999999988," ",3,0.8
3,0.185071915999201,35.9979999999923," ",3,0.8
4,0.0244949319034285,33.4690000000119,"BEST",3,0.8
5,0.1191985793755,32.8589999999967," ",3,0.8
2,0.0404537435473846,35.9309999999823," ",4,0.8
3,0.193009052260542,40.0869999999995," ",4,0.8
4,0.0231074930787653,36.7749999999942,"BEST",4,0.8
5,0.119563771594765,32.75," ",4,0.8
2,0.0403708054228329,37.9800000000105," ",5,0.8
3,0.201873000277068,36.6419999999925," ",5,0.8
4,0.0245980096396369,34.1639999999898,"BEST",5,0.8
5,0.119350247113925,32.7339999999967," ",5,0.8
2,0.0403630730596645,36.6449999999895," ",6,0.8
3,0.197068618914392,38.3449999999721," ",6,0.8
4,0.02220207745523,33.5979999999981,"BEST",6,0.8
5,0.110146485289565,32.1820000000007," ",6,0.8
2,0.040503723814564,36.8269999999902," ",7,0.8
3,0.19781694620138,36.3660000000091," ",7,0.8
4,0.0193330625448219,33.4590000000026,"BEST",7,0.8
5,0.1194303474116,31.3239999999932," ",7,0.8
2,0.041974486940676,44.570000000007," ",8,0.8
3,0.196486474105858,37.5970000000088," ",8,0.8
4,0.0213057142100829,34.1100000000151,"BEST",8,0.8
5,0.128162774073134,32.6889999999839," ",8,0.8
2,0.0429651850294055,36.4089999999851," ",9,0.8
3,0.194708169431592,38.0760000000009," ",9,0.8
4,0.0217572591933073,34.2479999999923,"BEST",9,0.8
5,0.128049204759893,38.1990000000224," ",9,0.8
2,0.0577672904784274,40.5180000000109," ",10,0.8
3,0.206055338141292,38.2129999999888," ",10,0.8
4,0.0212117574192806,38.1210000000137,"BEST",10,0.8
5,0.130911631702501,37.1710000000021," ",10,0.8
2,0.0416032465298094,39.7980000000098," ",11,0.8
3,0.204871707659681,43.7210000000196," ",11,0.8
4,0.0211733428030342,36.4020000000019,"BEST",11,0.8
5,0.130917100590743,33.7300000000105," ",11,0.8
2,0.0413490095537642,43.426999999996," ",12,0.8
3,0.204247260900918,40.9290000000037," ",12,0.8
4,0.0199825119179049,33.8869999999879,"BEST",12,0.8
5,0.131007453248184,35.4869999999937," ",12,0.8
2,0.0553991609050016,37.7770000000019," ",13,0.8
3,0.204334714064872,39.5180000000109," ",13,0.8
4,0.0216929326284683,40.8760000000184,"BEST",13,0.8
5,0.130080004670798,32.9619999999995," ",13,0.8
2,0.0550284484816713,40.4510000000009," ",14,0.8
3,0.202520100680528,39.63400000002," ",14,0.8
4,0.0191053323607414,37.9219999999914,"BEST",14,0.8
5,0.130669463244092,34.63400000002," ",14,0.8
2,0.0548780571451793,39.4560000000056," ",15,0.8
3,0.191926042250276,39.8710000000137," ",15,0.8
4,0.0193682827807127,36.7249999999767,"BEST",15,0.8
5,0.130826429437665,37.3679999999877," ",15,0.8
2,0.0753687283198861,40.5049999999756," ",16,0.8
3,0.192719751598446,39.75," ",16,0.8
4,0.0221882816435007,33.5059999999939,"BEST",16,0.8
5,0.125868644492912,31.789999999979," ",16,0.8
2,0.0756355218947558,38.7900000000081," ",17,0.8
3,0.189055321090212,41.0160000000033," ",17,0.8
4,0.0199867381013134,36.8440000000119,"BEST",17,0.8
5,0.130780887758154,36.6720000000205," ",17,0.8
2,0.0759206380649671,41.0929999999935," ",18,0.8
3,0.191111490140907,38.0109999999986," ",18,0.8
4,0.0207056405876852,38.0819999999949,"BEST",18,0.8
5,0.130262157448071,35.5760000000009," ",18,0.8
2,0.0763440489877946,40.2339999999967," ",19,0.8
3,0.186423908097413,39.69200000001," ",19,0.8
4,0.0207834057040498,37.25,"BEST",19,0.8
5,0.13025263019209,38.5279999999912," ",19,0.8
2,0.0767878772310743,41.8850000000093," ",20,0.8
3,0.186810130230844,40.551999999996," ",20,0.8
4,0.0207775077551139,37.8649999999907,"BEST",20,0.8
5,0.12996164322753,33.4809999999998," ",20,0.8
2,0.0770984165277387,40.9650000000256," ",21,0.8
3,0.185809453644963,39.6760000000068," ",21,0.8
4,0.0190019327835833,39.7289999999921,"BEST",21,0.8
5,0.126566365065231,64.4639999999781," ",21,0.8
2,0.0780954347677335,72.3040000000037," ",22,0.8
3,0.173024462423881,81.3879999999772," ",22,0.8
4,0.0196001351840891,76.2400000000198,"BEST",22,0.8
5,0.126159406969578,60.3369999999995," ",22,0.8
2,0.0781177826005073,73.36599999998," ",23,0.8
3,0.182661630513561,77.4279999999853," ",23,0.8
4,0.0174794504751853,67.3910000000033,"BEST",23,0.8
5,0.121172119944764,61.6830000000191," ",23,0.8
2,0.0651821034285453,71.4919999999984," ",24,0.8
3,0.182513750099165,69.2649999999849," ",24,0.8
4,0.019070293347956,69.8889999999956,"BEST",24,0.8
5,0.120959605939916,63.5460000000021," ",24,0.8
2,0.0479491572469988,67.9239999999991," ",25,0.8
3,0.184048051259058,69.8150000000023," ",25,0.8
4,0.0185885300613654,62.4070000000065,"BEST",25,0.8
5,0.127518409888801,70.5180000000109," ",25,0.8
