"k","Score","Time (seconds)","Best Cluster (k)","run","var"
2,0.260678010825414,10.3950000000186," ",1,0.5
3,0.00858257770899711,9.43700000000536,"BEST",1,0.5
4,0.0806111785065291,8.04899999999907," ",1,0.5
5,0.130359185895154,7.54300000000512," ",1,0.5
2,0.259722129560089,8.38800000000629," ",2,0.5
3,0.00738412449354147,8.32299999997485,"BEST",2,0.5
4,0.0824378761790529,7.92199999999139," ",2,0.5
5,0.132100220222719,7.92399999999907," ",2,0.5
2,0.259666411088859,8.31399999998393," ",3,0.5
3,0.00822798913421148,8.68400000000838,"BEST",3,0.5
4,0.0820561913131067,8.3640000000014," ",3,0.5
5,0.131098799360754,8.09399999998277," ",3,0.5
2,0.259979006226029,8.42199999999139," ",4,0.5
3,0.00732696660361811,8.43499999999767,"BEST",4,0.5
4,0.080628710840816,7.93800000002375," ",4,0.5
5,0.131198372197881,7.56599999999162," ",4,0.5
2,0.261330271880245,8.41199999998207," ",5,0.5
3,0.00855512235125239,8.48999999999069,"BEST",5,0.5
4,0.0808061966035586,7.97400000001653," ",5,0.5
5,0.129214986292688,7.5789999999979," ",5,0.5
2,0.268584011356412,8.30100000000675," ",6,0.5
3,0.00792351799527118,8.41399999998976,"BEST",6,0.5
4,0.080787059570802,8.0449999999837," ",6,0.5
5,0.129150988973572,7.92399999999907," ",6,0.5
2,0.267458304137309,8.3410000000149," ",7,0.5
3,0.00848467393850119,8.45100000000093,"BEST",7,0.5
4,0.0797575748287265,7.96400000000722," ",7,0.5
5,0.128794218946138,7.68100000001141," ",7,0.5
2,0.266326012808274,8.35500000001048," ",8,0.5
3,0.00794894225746163,8.72299999999814,"BEST",8,0.5
4,0.0811427014594236,8.30999999999767," ",8,0.5
5,0.127548763965549,8.06099999998696," ",8,0.5
2,0.248125657438377,8.31100000001607," ",9,0.5
3,0.00739331807683718,8.36699999999837,"BEST",9,0.5
4,0.0811957604341052,8.37900000001537," ",9,0.5
5,0.127645815063915,7.66500000000815," ",9,0.5
2,0.252893587040098,8.41199999998207," ",10,0.5
3,0.00663488908212463,9.29999999998836,"BEST",10,0.5
4,0.0806060434906251,9.46499999999651," ",10,0.5
5,0.129130825477381,9.33799999998882," ",10,0.5
2,0.234752217730893,9.32399999999325," ",11,0.5
3,0.0066219473878413,8.59400000001187,"BEST",11,0.5
4,0.0805632092521111,8.27700000000186," ",11,0.5
5,0.130156074927783,7.90299999999115," ",11,0.5
2,0.21107327582161,9.6019999999844," ",12,0.5
3,0.00677989582454194,9.03800000000047,"BEST",12,0.5
4,0.0810002507258394,8.24000000001979," ",12,0.5
5,0.130350731687253,7.59899999998743," ",12,0.5
2,0.211566963666425,8.35599999999977," ",13,0.5
3,0.00677079578117633,8.41699999998673,"BEST",13,0.5
4,0.0812796741842317,7.99099999997998," ",13,0.5
5,0.128028400162137,7.55500000002212," ",13,0.5
2,0.223506041507403,8.42000000001281," ",14,0.5
3,0.00652835095185109,8.73299999997835,"BEST",14,0.5
4,0.0800702384234225,8.20600000000559," ",14,0.5
5,0.128049436961129,7.58800000001793," ",14,0.5
2,0.243022678600082,8.24299999998766," ",15,0.5
3,0.00583922210568007,9.58599999998114,"BEST",15,0.5
4,0.0799796954860715,8.89499999998952," ",15,0.5
5,0.127014130761314,7.7949999999837," ",15,0.5
2,0.244835176643506,8.59699999997974," ",16,0.5
3,0.00625941508606058,8.68799999999464,"BEST",16,0.5
4,0.0801488479688868,8.09500000000116," ",16,0.5
5,0.124975492818073,7.5229999999865," ",16,0.5
2,0.225967002333313,8.21700000000419," ",17,0.5
3,0.00625016706075994,8.39499999998952,"BEST",17,0.5
4,0.0795669341793516,8.13399999999092," ",17,0.5
5,0.126001787184745,7.56500000000233," ",17,0.5
2,0.246845963487909,8.19599999999627," ",18,0.5
3,0.00635158280286085,8.35599999999977,"BEST",18,0.5
4,0.0808574307286283,7.92299999998068," ",18,0.5
5,0.127707515581673,7.56299999999464," ",18,0.5
2,0.250062752851411,8.89899999997579," ",19,0.5
3,0.0060001462478933,9.06100000001607,"BEST",19,0.5
4,0.0823364918351108,8.08400000000256," ",19,0.5
5,0.127648605000988,7.50299999999697," ",19,0.5
2,0.24986579738682,9.34500000000116," ",20,0.5
3,0.00577417548859628,9.91899999999441,"BEST",20,0.5
4,0.0832003060462615,8.46700000000419," ",20,0.5
5,0.126643959364994,8.62299999999232," ",20,0.5
2,0.247145850273896,8.36899999997695," ",21,0.5
3,0.0062425666105909,8.47800000000279,"BEST",21,0.5
4,0.08237482091778,7.92399999999907," ",21,0.5
5,0.124891439866059,7.81200000000536," ",21,0.5
2,0.247661839755327,8.23300000000745," ",22,0.5
3,0.00689404807319781,8.8179999999993,"BEST",22,0.5
4,0.0816697080648862,8.45600000000559," ",22,0.5
5,0.126701759247727,9.38000000000466," ",22,0.5
2,0.256304481939431,9.1480000000156," ",23,0.5
3,0.00655815642886799,9.25099999998929,"BEST",23,0.5
4,0.0815604957488778,8.65099999998347," ",23,0.5
5,0.129199605366816,7.61099999997532," ",23,0.5
2,0.227230176939755,8.20100000000093," ",24,0.5
3,0.0060910174968686,8.38699999998789,"BEST",24,0.5
4,0.0812151498892115,7.875," ",24,0.5
5,0.130332826611177,7.58499999999185," ",24,0.5
2,0.198699046777636,8.15299999999115," ",25,0.5
3,0.00682780287861327,8.31299999999464,"BEST",25,0.5
4,0.0794459117953625,7.91100000002189," ",25,0.5
5,0.130359931518789,7.54099999999744," ",25,0.5
