"k","Score","Time (seconds)","Best Cluster (k)","run","var"
2,0.255077209664599,10.3549999999814," ",1,0.2
3,0.00169410493871504,8.81500000000233,"BEST",1,0.2
4,0.059417450660071,8.44800000000396," ",1,0.2
5,0.128045148974486,7.77100000000792," ",1,0.2
2,0.253573260212021,10.1309999999939," ",2,0.2
3,0.00169565222144976,8.37600000001839,"BEST",2,0.2
4,0.0597098164704449,8.20000000001164," ",2,0.2
5,0.129939605127189,8.84300000002258," ",2,0.2
2,0.252810411100835,10.9870000000228," ",3,0.2
3,0.00169673061300431,9.79199999998673,"BEST",3,0.2
4,0.0609551410729006,8.89600000000792," ",3,0.2
5,0.128212946060774,9.53800000000047," ",3,0.2
2,0.25324520888712,9.02499999999418," ",4,0.2
3,0.00169654325508101,9.73000000001048,"BEST",4,0.2
4,0.0604658579183516,9.60399999999208," ",4,0.2
5,0.126161404589153,8.64499999998952," ",4,0.2
2,0.253415659358153,9.47200000000885," ",5,0.2
3,0.00169125149879839,9.23500000001513,"BEST",5,0.2
4,0.0608419571271846,8.38999999998487," ",5,0.2
5,0.126645549684459,9.51600000000326," ",5,0.2
2,0.271501984614044,9.97100000001956," ",6,0.2
3,0.00169052388411858,10.1879999999946,"BEST",6,0.2
4,0.0603007513165887,9.59599999999045," ",6,0.2
5,0.125488272015244,8.93499999999767," ",6,0.2
2,0.271010847590132,9.60699999998906," ",7,0.2
3,0.00169238119426926,9.51499999998487,"BEST",7,0.2
4,0.0607248882870187,9.06599999999162," ",7,0.2
5,0.125775969414346,9.36799999998766," ",7,0.2
2,0.312581550532019,9.47799999997369," ",8,0.2
3,0.00168419041263837,9.86699999999837,"BEST",8,0.2
4,0.0623444030377599,9.12600000001839," ",8,0.2
5,0.126958018125708,9.44800000000396," ",8,0.2
2,0.345784315154185,10.6289999999863," ",9,0.2
3,0.00167588277560667,10.0320000000065,"BEST",9,0.2
4,0.0617138249556347,9.29999999998836," ",9,0.2
5,0.126255125477973,8.52900000000955," ",9,0.2
2,0.364863215124973,8.58400000000256," ",10,0.2
3,0.00167265049103839,9.74700000000303,"BEST",10,0.2
4,0.0616839134792097,9.75999999998021," ",10,0.2
5,0.124811960663508,8.62399999998161," ",10,0.2
2,0.364612301648421,9.04999999998836," ",11,0.2
3,0.00167308266331925,10.24099999998,"BEST",11,0.2
4,0.0627920714447225,9.11600000000908," ",11,0.2
5,0.124368682081404,8.92300000000978," ",11,0.2
2,0.363443587321059,9.33200000002398," ",12,0.2
3,0.00168059308036264,9.66700000001583,"BEST",12,0.2
4,0.0610616854891823,9.47400000001653," ",12,0.2
5,0.123109124149169,8.78200000000652," ",12,0.2
2,0.363210020694089,9.45699999999488," ",13,0.2
3,0.00167854148307101,8.66699999998673,"BEST",13,0.2
4,0.0619838737917906,9.41899999999441," ",13,0.2
5,0.122861589657424,8.78299999999581," ",13,0.2
2,0.362305384115489,8.32299999997485," ",14,0.2
3,0.00168518238652313,9.24100000000908,"BEST",14,0.2
4,0.063046021197646,10.2759999999835," ",14,0.2
5,0.127893396143051,9.40300000002026," ",14,0.2
