"k","Score","Time (seconds)","Best Cluster (k)","run","var"
2,0.325980376443189,9.20399999999995," ",1,0.5
3,0.178249813822583,8.43599999999992," ",1,0.5
4,0.00503804099499153,8.09400000000005,"BEST",1,0.5
5,0.0538675485413638,7.702," ",1,0.5
2,0.323408523907694,8.27800000000002," ",2,0.5
3,0.173872725186493,8.44399999999996," ",2,0.5
4,0.0012371007954879,8.58600000000001,"BEST",2,0.5
5,0.0455508449727012,7.81500000000005," ",2,0.5
2,0.322399470650713,8.51600000000008," ",3,0.5
3,0.0991557243896213,8.54899999999998," ",3,0.5
4,0.00516529200446683,8.12799999999993,"BEST",3,0.5
5,0.0514357128055899,7.75," ",3,0.5
2,0.365633148737468,8.24699999999984," ",4,0.5
3,0.181372608634379,8.52700000000004," ",4,0.5
4,0.00636183770728474,7.93299999999999,"BEST",4,0.5
5,0.0463706159484331,7.55700000000002," ",4,0.5
2,0.320566833343459,8.42599999999993," ",5,0.5
3,0.149880286846107,8.27600000000007," ",5,0.5
4,0.00240262646917652,7.96799999999985,"BEST",5,0.5
5,0.0576826761991191,7.63500000000022," ",5,0.5
2,0.286820209341567,8.55099999999993," ",6,0.5
3,0.202170039910259,8.34899999999993," ",6,0.5
4,0.00820484177643597,7.99000000000001,"BEST",6,0.5
5,0.0710337766786772,7.59599999999978," ",6,0.5
2,0.366649022543778,8.45899999999983," ",7,0.5
3,0.186331920810048,8.32099999999991," ",7,0.5
4,0.00863740463143767,8.404,"BEST",7,0.5
5,0.0574362436469556,7.54299999999989," ",7,0.5
2,0.321744854650304,8.56799999999998," ",8,0.5
3,0.172171248728931,8.356," ",8,0.5
4,0.00687315115904036,7.93799999999987,"BEST",8,0.5
5,0.0526287065380867,7.5630000000001," ",8,0.5
2,0.11871436700658,8.47299999999996," ",9,0.5
3,0.17170799673688,8.22600000000011," ",9,0.5
4,0.00360125902138242,7.86199999999985,"BEST",9,0.5
5,0.0493921752015636,7.79399999999987," ",9,0.5
2,0.277252679495681,8.404," ",10,0.5
3,0.170611733343947,8.43500000000017," ",10,0.5
4,0.00231961460777595,8.17399999999998,"BEST",10,0.5
5,0.0609050318520831,7.45000000000005," ",10,0.5
2,0.400211406821829,8.42000000000007," ",11,0.5
3,0.190262171638805,8.37299999999982," ",11,0.5
4,0.0034798067891738,8.12800000000016,"BEST",11,0.5
5,0.0530019740864884,7.69399999999996," ",11,0.5
2,0.400057959127046,8.60500000000002," ",12,0.5
3,0.168167209535019,8.548," ",12,0.5
4,0.00337436300794574,8.11800000000017,"BEST",12,0.5
5,0.0650991900758132,7.471," ",12,0.5
2,0.402905203024026,9.13599999999997," ",13,0.5
3,0.181439748800294,8.27400000000011," ",13,0.5
4,0.00381050137544595,8.173,"BEST",13,0.5
5,0.0603667425296859,7.75," ",13,0.5
2,0.275741967776801,8.42900000000009," ",14,0.5
3,0.173797844591773,8.4369999999999," ",14,0.5
4,0.0011072221669101,7.88200000000006,"BEST",14,0.5
5,0.0408450895592562,7.80500000000006," ",14,0.5
2,0.400466441748532,8.34300000000007," ",15,0.5
3,0.159914959202523,8.31600000000003," ",15,0.5
4,0.00553321673937845,8.13400000000001,"BEST",15,0.5
5,0.0571288453140628,7.76999999999998," ",15,0.5
2,0.324514322122426,8.70299999999997," ",16,0.5
3,0.183260672931336,8.21800000000007," ",16,0.5
4,0,7.88400000000001,"BEST",16,0.5
5,0.039877806318935,7.45299999999997," ",16,0.5
2,0.343562387836973,8.481," ",17,0.5
3,0.0333956053443075,8.18599999999992," ",17,0.5
4,0.00496708504646898,8.0440000000001,"BEST",17,0.5
5,0.0419084205422443,7.4860000000001," ",17,0.5
2,0.368335698415846,8.41200000000003," ",18,0.5
3,0.141805808111328,8.20900000000006," ",18,0.5
4,0.00592429830669521,7.8889999999999,"BEST",18,0.5
5,0.0507884852753176,7.52099999999996," ",18,0.5
2,0.390305723264152,8.54700000000003," ",19,0.5
3,0.203164312104002,8.20800000000008," ",19,0.5
4,0.00808780875403976,8.05200000000013,"BEST",19,0.5
5,0.0461441321835014,7.5," ",19,0.5
2,0.403821522647385,8.59999999999991," ",20,0.5
3,0.168996697915912,8.20900000000006," ",20,0.5
4,0.00201913158332168,7.85300000000007,"BEST",20,0.5
5,0.0370728645716339,7.5909999999999," ",20,0.5
2,0.398095389865897,8.78599999999983," ",21,0.5
3,0.16564617544081,8.7360000000001," ",21,0.5
4,0.000208231605399544,8.95399999999995,"BEST",21,0.5
5,0.0399490116681989,7.55899999999997," ",21,0.5
2,0.41860219494342,8.43999999999983," ",22,0.5
3,0.17981966088959,8.31100000000015," ",22,0.5
4,0,7.89099999999985,"BEST",22,0.5
5,0.0559190369707881,7.77699999999982," ",22,0.5
2,0.400766182834357,8.39499999999998," ",23,0.5
3,0.180744928912154,8.74900000000002," ",23,0.5
4,0.0022255200495872,8.22899999999981,"BEST",23,0.5
5,0.0463039196586848,7.55000000000018," ",23,0.5
2,0.406782188998797,8.30700000000002," ",24,0.5
3,0.1939309147405,8.35899999999992," ",24,0.5
4,0.00494239659742135,7.98400000000015,"BEST",24,0.5
5,0.0573699887704673,7.75099999999998," ",24,0.5
2,0.385924685395168,8.30799999999999," ",25,0.5
3,0.169997718227743,8.62000000000012," ",25,0.5
4,0.00465996986280399,8.05199999999991,"BEST",25,0.5
5,0.0569977460959208,7.74500000000012," ",25,0.5
