"k","Score","Time (seconds)","Best Cluster (k)","run","var"
2,0.233603549079582,5.82500000000073," ",1,0.5
3,0.00580909716084227,6.27899999999863,"BEST",1,0.5
4,0.0879814316041703,5.99099999999999," ",1,0.5
5,0.113336543201352,5.48999999999978," ",1,0.5
2,0.290391043334755,6.21600000000035," ",2,0.5
3,0,6.82000000000153,"BEST",2,0.5
4,0.073430444487964,6.40200000000004," ",2,0.5
5,0.120648222896815,7.03600000000006," ",2,0.5
2,0.231823955661686,5.97899999999936," ",3,0.5
3,7.59762381845441e-05,5.47600000000057,"BEST",3,0.5
4,0.0833607091659775,5.9330000000009," ",3,0.5
5,0.111100129186185,5.55400000000009," ",3,0.5
2,0.30089543320683,6.31999999999971," ",4,0.5
3,9.24842290529298e-05,6.08499999999913,"BEST",4,0.5
4,0.060151925881121,5.6859999999997," ",4,0.5
5,0.112221571769462,7.02399999999943," ",4,0.5
2,0.167681579456248,5.48800000000119," ",5,0.5
3,0.0124496531240539,6.37300000000141,"BEST",5,0.5
4,0.0731962371510161,5.63300000000163," ",5,0.5
5,0.119822661197875,5.59200000000055," ",5,0.5
2,0.10510944304361,5.5689999999995," ",6,0.5
3,0.0018008350136017,5.44599999999991,"BEST",6,0.5
4,0.0794481432787342,5.54099999999926," ",6,0.5
5,0.12786102385018,5.58200000000033," ",6,0.5
2,0.23435557202522,5.42300000000068," ",7,0.5
3,0.0195751660063118,5.45700000000033,"BEST",7,0.5
4,0.0894895791066585,5.60399999999936," ",7,0.5
5,0.119944730185222,5.27999999999884," ",7,0.5
2,0.23863230011561,5.48300000000017," ",8,0.5
3,0.0225117938635665,5.40999999999985,"BEST",8,0.5
4,0.0925084579244514,5.42799999999988," ",8,0.5
5,0.105197926909691,5.33699999999953," ",8,0.5
2,0.235445009643007,5.84500000000116," ",9,0.5
3,9.55302780549666e-05,5.54500000000007,"BEST",9,0.5
4,0.0880993057864642,5.32500000000073," ",9,0.5
5,0.0871188875249411,7.0010000000002," ",9,0.5
2,0.301923377959418,5.79999999999927," ",10,0.5
3,0.0105777258897624,5.57899999999972,"BEST",10,0.5
4,0.0869351788620768,6.21999999999935," ",10,0.5
5,0.113602873159998,5.72400000000016," ",10,0.5
2,0.0313207079271048,5.7440000000006," ",11,0.5
3,0.00218439996747709,5.54300000000148,"BEST",11,0.5
4,0.0775354402933618,5.58800000000156," ",11,0.5
5,0.137071751763815,6.34100000000035," ",11,0.5
2,0.0583976269582211,5.89199999999983," ",12,0.5
3,0,5.76499999999942,"BEST",12,0.5
4,0.0770666106217742,5.63900000000103," ",12,0.5
5,0.120271173123871,5.69700000000012," ",12,0.5
2,0.276838145227763,5.66100000000006," ",13,0.5
3,0,5.77500000000146,"BEST",13,0.5
4,0.078591526242956,5.74099999999999," ",13,0.5
5,0.110097279106195,5.72600000000057," ",13,0.5
2,0.286332782083021,5.45900000000074," ",14,0.5
3,0.00367061303502023,5.66100000000006,"BEST",14,0.5
4,0.0784144898336222,5.3640000000014," ",14,0.5
5,0.128729799328637,5.4900000000016," ",14,0.5
2,0.244354895445643,5.70600000000013," ",15,0.5
3,0.0201727890770576,6.77599999999984,"BEST",15,0.5
4,0.0823502761669261,6.04399999999987," ",15,0.5
5,0.113768980316397,5.48300000000017," ",15,0.5
2,0.115824361763989,5.46999999999935," ",16,0.5
3,0,5.41799999999967,"BEST",16,0.5
4,0.0822440151298952,5.63600000000042," ",16,0.5
5,0.132361470567628,5.41600000000108," ",16,0.5
2,0.232388330804957,5.73300000000017," ",17,0.5
3,0.00169018180319569,5.5010000000002,"BEST",17,0.5
4,0.0517243319213738,5.33699999999953," ",17,0.5
5,0.116290135842736,5.54299999999967," ",17,0.5
2,0.0374108605212151,6.05900000000111," ",18,0.5
3,0.0209926512689101,5.79899999999907,"BEST",18,0.5
4,0.101186295089594,6.84299999999894," ",18,0.5
5,0.118017450664833,5.45100000000093," ",18,0.5
2,0.0444768576209941,5.44800000000032," ",19,0.5
3,0.00272688955959083,5.51199999999881,"BEST",19,0.5
4,0.0828264009347732,5.57400000000052," ",19,0.5
5,0.0999293993835598,5.64599999999882," ",19,0.5
2,0.201134624080525,6.94900000000052," ",20,0.5
3,0.00884024769199375,6.52000000000044,"BEST",20,0.5
4,0.083653827096034,5.79500000000007," ",20,0.5
5,0.134025381489484,5.68500000000131," ",20,0.5
2,0.227789001027382,5.4989999999998," ",21,0.5
3,0.00409967154500617,5.61800000000039,"BEST",21,0.5
4,0.083155409416765,5.32599999999911," ",21,0.5
5,0.119199775961049,5.47099999999955," ",21,0.5
2,0.279627095616391,5.32200000000012," ",22,0.5
3,0.00652573263411705,5.88600000000042,"BEST",22,0.5
4,0.0886793342342861,5.63400000000001," ",22,0.5
5,0.13119131125405,5.87299999999959," ",22,0.5
2,0.293242841111934,5.57500000000073," ",23,0.5
3,0.0099947220330562,5.57599999999911,"BEST",23,0.5
4,0.0780371619878871,5.78399999999965," ",23,0.5
5,0.0925306708991098,6.23199999999997," ",23,0.5
2,0.285740436315979,6.51300000000083," ",24,0.5
3,0.00595039169225216,5.6349999999984,"BEST",24,0.5
4,0.0772895494094901,5.60499999999956," ",24,0.5
5,0.134781078217976,6.61100000000079," ",24,0.5
2,0.299049531357788,6.18399999999929," ",25,0.5
3,0.00176171349119458,5.72099999999955,"BEST",25,0.5
4,0.066461918856262,5.78499999999985," ",25,0.5
5,0.134198521573152,5.67100000000028," ",25,0.5
