"k","Score","Time (seconds)","Best Cluster (k)","run","var"
2,0.254916120595578,12.4670000000006," ",1,0.2
3,0.00170104117596038,12.808,"BEST",1,0.2
4,0.0584914615357253,15.6759999999995," ",1,0.2
5,0.127406385899827,11.0520000000006," ",1,0.2
2,0.271450056525823,12.9570000000003," ",2,0.2
3,0.0204573990844945,12.1770000000006,"BEST",2,0.2
4,0.0567210389974324,11.5050000000001," ",2,0.2
5,0.125311472214942,11.5690000000004," ",2,0.2
2,0.351376784278683,12.7910000000002," ",3,0.2
3,0.0121805235935875,13.2190000000001,"BEST",3,0.2
4,0.0628732829582734,15.0700000000006," ",3,0.2
5,0.129563302527176,18.3050000000003," ",3,0.2
2,0.34845698548008,19.3299999999999," ",4,0.2
3,0,17.2170000000006,"BEST",4,0.2
4,0.0584628132442665,14.8829999999998," ",4,0.2
5,0.130221871097831,11.8720000000003," ",4,0.2
2,0.348078884511123,12.0079999999998," ",5,0.2
3,0,12.5739999999996,"BEST",5,0.2
4,0.0626207305649064,12.2849999999999," ",5,0.2
5,0.129667632194173,13.5230000000001," ",5,0.2
2,0.295537687294483,12.8060000000005," ",6,0.2
3,0,12.5060000000003,"BEST",6,0.2
4,0.0577403926802791,12.0149999999994," ",6,0.2
5,0.134471257986314,12.5650000000005," ",6,0.2
2,0.372064343786268,12.9000000000005," ",7,0.2
3,0.000453645371228317,13.3050000000003,"BEST",7,0.2
4,0.0656522273207753,13.6810000000005," ",7,0.2
5,0.13181571001413,15.0889999999999," ",7,0.2
2,0.291203532311477,13.4260000000004," ",8,0.2
3,4.37087261533796e-05,13.2270000000008,"BEST",8,0.2
4,0.0578878019362241,12.4500000000007," ",8,0.2
5,0.130048885380663,11.6080000000002," ",8,0.2
2,0.359566727239357,14.6979999999994," ",9,0.2
3,0.00169681419635408,14.6779999999999,"BEST",9,0.2
4,0.0546151856315114,12.9889999999996," ",9,0.2
5,0.13003799687061,12.7190000000001," ",9,0.2
2,0.294601976891406,14.6300000000001," ",10,0.2
3,0.00354399006421608,15.6570000000002,"BEST",10,0.2
4,0.0606107133118962,13.1469999999999," ",10,0.2
5,0.129928569060345,11.9070000000002," ",10,0.2
2,0.36253373912856,12.9989999999998," ",11,0.2
3,0,14.6120000000001,"BEST",11,0.2
4,0.0676393400986985,12.8789999999999," ",11,0.2
5,0.133783565023996,11.6019999999999," ",11,0.2
2,0.352500583543675,12.7399999999998," ",12,0.2
3,0.0442939812125736,14,"BEST",12,0.2
4,0.0581914770895949,12.6260000000002," ",12,0.2
